0's, x : 5.7498689
1's, x : 5.2154908
2's, x : 5.1816721
3's, x : 5.6868911
4's, x : 5.2154908
5's, x : 4.5773559
6's, x : 4.5780468
7's, x : 5.1816721
8's, x : 5.1816721
9's, x : 4.5780468
10's, x : 4.5767589
11's, x : 5.1528540
12's, x : 5.6868911
13's, x : 5.1816721
14's, x : 5.1528540
15's, x : 5.6354089
16's, x : 6.3254819
17's, x : 6.1013670
18's, x : 6.0163188
19's, x : 6.2154360
20's, x : 6.1013670
21's, x : 5.7498689
22's, x : 5.6868911
23's, x : 6.0163188
24's, x : 6.0163188
25's, x : 5.6868911
26's, x : 5.6354089
27's, x : 5.9509521
28's, x : 6.2154360
29's, x : 6.0163188
30's, x : 5.9509521
31's, x : 6.1415601
32's, x : 6.5939751
33's, x : 6.4777012
34's, x : 6.3297272
35's, x : 6.4016032
36's, x : 6.4777012
37's, x : 6.3254819
38's, x : 6.2154360
39's, x : 6.3297272
40's, x : 6.3297272
41's, x : 6.2154360
42's, x : 6.1415601
43's, x : 6.2493072
44's, x : 6.4016032
45's, x : 6.3297272
46's, x : 6.2493072
47's, x : 6.3156228
48's, x : 2.5435400
49's, x : 2.3997200
50's, x : 2.4448800
51's, x : 2.5860889
52's, x : 2.3997200
53's, x : 2.3420830
54's, x : 2.3936169
55's, x : 2.4448800
56's, x : 2.4448800
57's, x : 2.3936169
58's, x : 2.4451511
59's, x : 2.4900401
60's, x : 2.5860889
61's, x : 2.4448800
62's, x : 2.4900401
63's, x : 2.6286390
64's, x : 3.1248569
65's, x : 2.8597281
66's, x : 2.9071939
67's, x : 3.3742709
68's, x : 2.8597281
69's, x : 2.5435400
70's, x : 2.5860889
71's, x : 2.9071939
72's, x : 2.9071939
73's, x : 2.5860889
74's, x : 2.6286390
75's, x : 2.9546590
76's, x : 3.3742709
77's, x : 2.9071939
78's, x : 2.9546590
79's, x : 3.4210081
80's, x : 4.5773559
81's, x : 3.9145811
82's, x : 3.9534011
83's, x : 4.5780468
84's, x : 3.9145811
85's, x : 3.1248569
86's, x : 3.3742709
87's, x : 3.9534011
88's, x : 3.9534011
89's, x : 3.3742709
90's, x : 3.4210081
91's, x : 3.9805920
92's, x : 4.5780468
93's, x : 3.9534011
94's, x : 3.9805920
95's, x : 4.5767589
96's, x : 4.5773559
97's, x : 5.2154908
98's, x : 5.2593122
99's, x : 4.5727072
100's, x : 5.2154908
101's, x : 5.7498689
102's, x : 5.8358312
103's, x : 5.2593122
104's, x : 5.2593122
105's, x : 5.8358312
106's, x : 5.9332891
107's, x : 5.3081341
108's, x : 4.5727072
109's, x : 5.2593122
110's, x : 5.3081341
111's, x : 4.5660791
112's, x : 5.7498689
113's, x : 6.1013670
114's, x : 6.2257771
115's, x : 5.8358312
116's, x : 6.1013670
117's, x : 6.3254819
118's, x : 6.5078578
119's, x : 6.2257771
120's, x : 6.2257771
121's, x : 6.5078578
122's, x : 6.7264032
123's, x : 6.3698692
124's, x : 5.8358312
125's, x : 6.2257771
126's, x : 6.3698692
127's, x : 5.9332891
128's, x : 6.3254819
129's, x : 6.4777012
130's, x : 6.7607818
131's, x : 6.5078578
132's, x : 6.4777012
133's, x : 6.5939751
134's, x : 6.9991269
135's, x : 6.7607818
136's, x : 6.7607818
137's, x : 6.9991269
138's, x : 7.5106678
139's, x : 7.1114159
140's, x : 6.5078578
141's, x : 6.7607818
142's, x : 7.1114159
143's, x : 6.7264032
144's, x : 3.1248569
145's, x : 3.9145811
146's, x : 3.8525031
147's, x : 3.1154990
148's, x : 3.9145811
149's, x : 4.5773559
150's, x : 4.5727072
151's, x : 3.8525031
152's, x : 3.8525031
153's, x : 4.5727072
154's, x : 4.5660791
155's, x : 3.7787960
156's, x : 3.1154990
157's, x : 3.8525031
158's, x : 3.7787960
159's, x : 2.9688990
160's, x : -5.7498689
161's, x : -5.6868911
162's, x : -5.1816721
163's, x : -5.2154908
164's, x : -5.6868911
165's, x : -5.6354089
166's, x : -5.1528540
167's, x : -5.1816721
168's, x : -5.1816721
169's, x : -5.1528540
170's, x : -4.5767589
171's, x : -4.5780468
172's, x : -5.2154908
173's, x : -5.1816721
174's, x : -4.5780468
175's, x : -4.5773559
176's, x : -6.3254809
177's, x : -6.2154360
178's, x : -6.0163188
179's, x : -6.1013670
180's, x : -6.2154360
181's, x : -6.1415601
182's, x : -5.9509521
183's, x : -6.0163188
184's, x : -6.0163188
185's, x : -5.9509521
186's, x : -5.6354089
187's, x : -5.6868911
188's, x : -6.1013670
189's, x : -6.0163188
190's, x : -5.6868911
191's, x : -5.7498689
192's, x : -6.5939751
193's, x : -6.4016032
194's, x : -6.3297272
195's, x : -6.4777012
196's, x : -6.4016032
197's, x : -6.3156228
198's, x : -6.2493072
199's, x : -6.3297272
200's, x : -6.3297272
201's, x : -6.2493072
202's, x : -6.1415601
203's, x : -6.2154360
204's, x : -6.4777012
205's, x : -6.3297272
206's, x : -6.2154360
207's, x : -6.3254809
208's, x : -2.5435400
209's, x : -2.5860889
210's, x : -2.4448800
211's, x : -2.3997200
212's, x : -2.5860889
213's, x : -2.6286390
214's, x : -2.4900401
215's, x : -2.4448800
216's, x : -2.4448800
217's, x : -2.4900401
218's, x : -2.4451511
219's, x : -2.3936169
220's, x : -2.3997200
221's, x : -2.4448800
222's, x : -2.3936169
223's, x : -2.3420830
224's, x : -3.1248569
225's, x : -3.3742709
226's, x : -2.9071939
227's, x : -2.8597281
228's, x : -3.3742709
229's, x : -3.4210081
230's, x : -2.9546590
231's, x : -2.9071939
232's, x : -2.9071939
233's, x : -2.9546590
234's, x : -2.6286390
235's, x : -2.5860889
236's, x : -2.8597281
237's, x : -2.9071939
238's, x : -2.5860889
239's, x : -2.5435400
240's, x : -4.5773559
241's, x : -4.5780468
242's, x : -3.9534011
243's, x : -3.9145811
244's, x : -4.5780468
245's, x : -4.5767589
246's, x : -3.9805920
247's, x : -3.9534011
248's, x : -3.9534011
249's, x : -3.9805920
250's, x : -3.4210081
251's, x : -3.3742709
252's, x : -3.9145811
253's, x : -3.9534011
254's, x : -3.3742709
255's, x : -3.1248569
256's, x : -4.5773559
257's, x : -4.5727072
258's, x : -5.2593122
259's, x : -5.2154908
260's, x : -4.5727072
261's, x : -4.5660791
262's, x : -5.3081341
263's, x : -5.2593122
264's, x : -5.2593122
265's, x : -5.3081341
266's, x : -5.9332891
267's, x : -5.8358312
268's, x : -5.2154908
269's, x : -5.2593122
270's, x : -5.8358312
271's, x : -5.7498689
272's, x : -5.7498689
273's, x : -5.8358312
274's, x : -6.2257771
275's, x : -6.1013670
276's, x : -5.8358312
277's, x : -5.9332891
278's, x : -6.3698692
279's, x : -6.2257771
280's, x : -6.2257771
281's, x : -6.3698692
282's, x : -6.7264032
283's, x : -6.5078578
284's, x : -6.1013670
285's, x : -6.2257771
286's, x : -6.5078578
287's, x : -6.3254809
288's, x : -6.3254809
289's, x : -6.5078578
290's, x : -6.7607818
291's, x : -6.4777012
292's, x : -6.5078578
293's, x : -6.7264032
294's, x : -7.1114159
295's, x : -6.7607818
296's, x : -6.7607818
297's, x : -7.1114159
298's, x : -7.5106678
299's, x : -6.9991269
300's, x : -6.4777012
301's, x : -6.7607818
302's, x : -6.9991269
303's, x : -6.5939751
304's, x : -3.1248569
305's, x : -3.1154990
306's, x : -3.8525031
307's, x : -3.9145811
308's, x : -3.1154990
309's, x : -2.9688990
310's, x : -3.7787960
311's, x : -3.8525031
312's, x : -3.8525031
313's, x : -3.7787960
314's, x : -4.5660791
315's, x : -4.5727072
316's, x : -3.9145811
317's, x : -3.8525031
318's, x : -4.5727072
319's, x : -4.5773559
320's, x : 63.5546188
321's, x : 63.7139778
322's, x : 63.5335007
323's, x : 63.2854195
324's, x : 63.4012756
325's, x : 62.9422150
326's, x : 63.1057587
327's, x : 63.5257034
328's, x : 64.3047638
329's, x : 64.3977203
330's, x : 63.9264412
331's, x : 63.7015572
332's, x : 64.3869476
333's, x : 64.3621292
334's, x : 63.8542747
335's, x : 63.9433670
336's, x : 65.2342758
337's, x : 65.3069305
338's, x : 64.3977203
339's, x : 64.3047638
340's, x : 65.0527344
341's, x : 64.3621292
342's, x : 64.3869476
343's, x : 65.1534348
344's, x : 63.8166771
345's, x : 63.7320175
346's, x : 63.5335007
347's, x : 63.7139778
348's, x : 64.4246826
